user_id,step,step_order,event_time
1,signup,1,2025-09-07 00:00:00
1,business_info,2,2025-09-07 02:00:00
2,signup,1,2025-12-21 00:00:00
2,business_info,2,2025-12-21 02:00:00
3,signup,1,2025-11-11 00:00:00
3,business_info,2,2025-11-11 02:00:00
3,verify_identity,3,2025-11-11 04:00:00
3,first_payment,4,2025-11-11 06:00:00
4,signup,1,2025-10-18 00:00:00
4,business_info,2,2025-10-18 02:00:00
5,signup,1,2025-07-29 00:00:00
5,business_info,2,2025-07-29 02:00:00
5,verify_identity,3,2025-07-29 04:00:00
5,first_payment,4,2025-07-29 06:00:00
6,signup,1,2025-07-29 00:00:00
6,business_info,2,2025-07-29 02:00:00
6,verify_identity,3,2025-07-29 04:00:00
7,signup,1,2025-07-11 00:00:00
8,signup,1,2025-12-06 00:00:00
8,business_info,2,2025-12-06 02:00:00
8,verify_identity,3,2025-12-06 04:00:00
9,signup,1,2025-10-19 00:00:00
9,business_info,2,2025-10-19 02:00:00
9,verify_identity,3,2025-10-19 04:00:00
9,first_payment,4,2025-10-19 06:00:00
10,signup,1,2025-11-07 00:00:00
10,business_info,2,2025-11-07 02:00:00
11,signup,1,2025-07-04 00:00:00
11,business_info,2,2025-07-04 02:00:00
11,verify_identity,3,2025-07-04 04:00:00
11,first_payment,4,2025-07-04 06:00:00
12,signup,1,2025-12-25 00:00:00
12,business_info,2,2025-12-25 02:00:00
13,signup,1,2025-11-30 00:00:00
13,business_info,2,2025-11-30 02:00:00
13,verify_identity,3,2025-11-30 04:00:00
14,signup,1,2025-08-08 00:00:00
14,business_info,2,2025-08-08 02:00:00
15,signup,1,2025-08-03 00:00:00
15,business_info,2,2025-08-03 02:00:00
15,verify_identity,3,2025-08-03 04:00:00
15,first_payment,4,2025-08-03 06:00:00
16,signup,1,2025-08-03 00:00:00
17,signup,1,2025-08-25 00:00:00
17,business_info,2,2025-08-25 02:00:00
17,verify_identity,3,2025-08-25 04:00:00
17,first_payment,4,2025-08-25 06:00:00
18,signup,1,2025-10-05 00:00:00
18,business_info,2,2025-10-05 02:00:00
18,verify_identity,3,2025-10-05 04:00:00
18,first_payment,4,2025-10-05 06:00:00
19,signup,1,2025-09-18 00:00:00
19,business_info,2,2025-09-18 02:00:00
19,verify_identity,3,2025-09-18 04:00:00
20,signup,1,2025-08-23 00:00:00
20,business_info,2,2025-08-23 02:00:00
20,verify_identity,3,2025-08-23 04:00:00
20,first_payment,4,2025-08-23 06:00:00
21,signup,1,2025-10-20 00:00:00
21,business_info,2,2025-10-20 02:00:00
21,verify_identity,3,2025-10-20 04:00:00
22,signup,1,2025-07-26 00:00:00
23,signup,1,2025-08-23 00:00:00
23,business_info,2,2025-08-23 02:00:00
24,signup,1,2025-09-06 00:00:00
24,business_info,2,2025-09-06 02:00:00
24,verify_identity,3,2025-09-06 04:00:00
24,first_payment,4,2025-09-06 06:00:00
25,signup,1,2025-09-22 00:00:00
25,business_info,2,2025-09-22 02:00:00
25,verify_identity,3,2025-09-22 04:00:00
25,first_payment,4,2025-09-22 06:00:00
26,signup,1,2025-11-21 00:00:00
26,business_info,2,2025-11-21 02:00:00
26,verify_identity,3,2025-11-21 04:00:00
27,signup,1,2025-08-06 00:00:00
27,business_info,2,2025-08-06 02:00:00
27,verify_identity,3,2025-08-06 04:00:00
27,first_payment,4,2025-08-06 06:00:00
28,signup,1,2025-10-03 00:00:00
28,business_info,2,2025-10-03 02:00:00
28,verify_identity,3,2025-10-03 04:00:00
29,signup,1,2025-10-17 00:00:00
30,signup,1,2025-07-09 00:00:00
30,business_info,2,2025-07-09 02:00:00
30,verify_identity,3,2025-07-09 04:00:00
31,signup,1,2025-10-20 00:00:00
32,signup,1,2025-08-01 00:00:00
32,business_info,2,2025-08-01 02:00:00
33,signup,1,2025-07-12 00:00:00
33,business_info,2,2025-07-12 02:00:00
33,verify_identity,3,2025-07-12 04:00:00
34,signup,1,2025-12-21 00:00:00
34,business_info,2,2025-12-21 02:00:00
34,verify_identity,3,2025-12-21 04:00:00
35,signup,1,2025-12-24 00:00:00
36,signup,1,2025-11-25 00:00:00
36,business_info,2,2025-11-25 02:00:00
37,signup,1,2025-08-25 00:00:00
38,signup,1,2025-07-18 00:00:00
38,business_info,2,2025-07-18 02:00:00
38,verify_identity,3,2025-07-18 04:00:00
39,signup,1,2025-11-03 00:00:00
39,business_info,2,2025-11-03 02:00:00
39,verify_identity,3,2025-11-03 04:00:00
40,signup,1,2025-09-19 00:00:00
40,business_info,2,2025-09-19 02:00:00
41,signup,1,2025-07-23 00:00:00
41,business_info,2,2025-07-23 02:00:00
41,verify_identity,3,2025-07-23 04:00:00
42,signup,1,2025-09-29 00:00:00
42,business_info,2,2025-09-29 02:00:00
43,signup,1,2025-07-07 00:00:00
43,business_info,2,2025-07-07 02:00:00
44,signup,1,2025-12-14 00:00:00
44,business_info,2,2025-12-14 02:00:00
44,verify_identity,3,2025-12-14 04:00:00
45,signup,1,2025-08-17 00:00:00
45,business_info,2,2025-08-17 02:00:00
46,signup,1,2025-10-30 00:00:00
46,business_info,2,2025-10-30 02:00:00
46,verify_identity,3,2025-10-30 04:00:00
46,first_payment,4,2025-10-30 06:00:00
47,signup,1,2025-08-27 00:00:00
47,business_info,2,2025-08-27 02:00:00
48,signup,1,2025-10-04 00:00:00
48,business_info,2,2025-10-04 02:00:00
48,verify_identity,3,2025-10-04 04:00:00
49,signup,1,2025-10-09 00:00:00
50,signup,1,2025-08-03 00:00:00
50,business_info,2,2025-08-03 02:00:00
50,verify_identity,3,2025-08-03 04:00:00
50,first_payment,4,2025-08-03 06:00:00
51,signup,1,2025-12-25 00:00:00
51,business_info,2,2025-12-25 02:00:00
51,verify_identity,3,2025-12-25 04:00:00
52,signup,1,2025-11-19 00:00:00
52,business_info,2,2025-11-19 02:00:00
52,verify_identity,3,2025-11-19 04:00:00
53,signup,1,2025-12-19 00:00:00
53,business_info,2,2025-12-19 02:00:00
53,verify_identity,3,2025-12-19 04:00:00
53,first_payment,4,2025-12-19 06:00:00
54,signup,1,2025-12-11 00:00:00
54,business_info,2,2025-12-11 02:00:00
54,verify_identity,3,2025-12-11 04:00:00
55,signup,1,2025-10-18 00:00:00
55,business_info,2,2025-10-18 02:00:00
56,signup,1,2025-12-16 00:00:00
56,business_info,2,2025-12-16 02:00:00
57,signup,1,2025-07-17 00:00:00
57,business_info,2,2025-07-17 02:00:00
57,verify_identity,3,2025-07-17 04:00:00
57,first_payment,4,2025-07-17 06:00:00
58,signup,1,2025-08-05 00:00:00
59,signup,1,2025-07-09 00:00:00
59,business_info,2,2025-07-09 02:00:00
60,signup,1,2025-08-29 00:00:00
60,business_info,2,2025-08-29 02:00:00
60,verify_identity,3,2025-08-29 04:00:00
61,signup,1,2025-09-10 00:00:00
61,business_info,2,2025-09-10 02:00:00
62,signup,1,2025-08-19 00:00:00
63,signup,1,2025-11-29 00:00:00
63,business_info,2,2025-11-29 02:00:00
63,verify_identity,3,2025-11-29 04:00:00
64,signup,1,2025-09-04 00:00:00
64,business_info,2,2025-09-04 02:00:00
65,signup,1,2025-08-21 00:00:00
66,signup,1,2025-10-08 00:00:00
66,business_info,2,2025-10-08 02:00:00
66,verify_identity,3,2025-10-08 04:00:00
66,first_payment,4,2025-10-08 06:00:00
67,signup,1,2025-07-26 00:00:00
67,business_info,2,2025-07-26 02:00:00
67,verify_identity,3,2025-07-26 04:00:00
67,first_payment,4,2025-07-26 06:00:00
68,signup,1,2025-11-24 00:00:00
68,business_info,2,2025-11-24 02:00:00
68,verify_identity,3,2025-11-24 04:00:00
69,signup,1,2025-07-14 00:00:00
70,signup,1,2025-12-28 00:00:00
70,business_info,2,2025-12-28 02:00:00
70,verify_identity,3,2025-12-28 04:00:00
71,signup,1,2025-11-19 00:00:00
71,business_info,2,2025-11-19 02:00:00
71,verify_identity,3,2025-11-19 04:00:00
72,signup,1,2025-08-06 00:00:00
72,business_info,2,2025-08-06 02:00:00
73,signup,1,2025-07-02 00:00:00
73,business_info,2,2025-07-02 02:00:00
73,verify_identity,3,2025-07-02 04:00:00
74,signup,1,2025-11-27 00:00:00
74,business_info,2,2025-11-27 02:00:00
74,verify_identity,3,2025-11-27 04:00:00
75,signup,1,2025-11-07 00:00:00
75,business_info,2,2025-11-07 02:00:00
76,signup,1,2025-11-11 00:00:00
